itin,ttdate,pc2,pc1,occ,cap
3247,-43,.039999999,.039999999,16,50
3784,-31,.125,.125,12,40
2946,-33,0,.055555556,15,36
8555,-20,.025,.075000003,35,40
3630,-10,-.06122449,.040816326,35,49
868,-15,-.050000001,0,4,40
892,-17,.050000001,.1,29,40
1593,-24,.02,0,42,50
10198,-52,.03846154,.03846154,34,52
864,-57,-.050000001,0,0,40
9076,-53,-.050000001,0,4,40
4213,-43,.050000001,.050000001,11,40
8152,-45,.075000003,.075000003,18,40
509,-13,.03846154,.03846154,16,26
8948,-5,0,.050000001,11,40
10677,-50,0,0,12,50
5560,-26,-.050000001,0,2,40
6209,-31,-.07692308,-.07692308,6,26
8430,-56,-.07692308,-.07692308,9,26
165,-26,-.03846154,-.03846154,6,26
5052,-37,.033333335,.033333335,12,30
4725,-51,.16666667,.13333334,5,30
1426,-59,0,-.0625,3,16
6963,-47,.033333335,.033333335,13,30
6223,-14,.050000001,.1,15,40
2747,-5,.075000003,.075000003,15,40
1677,-7,.059999999,.039999999,39,50
3606,-30,-.055555556,0,13,36
4165,-5,.075000003,.075000003,30,40
5978,-6,.1875,.125,11,16
4563,-52,-.07692308,-.07692308,2,26
1903,-26,.14,.12,36,50
851,-3,0,0,6,40
2037,-45,.033333335,.033333335,12,30
6886,-25,.03846154,.03846154,21,52
4292,-12,.025,.025,32,40
6285,-45,0,.025,12,40
7442,-26,.050000001,.1,22,40
7615,-50,.025,.075000003,11,40
4301,-56,.025,.025,0,40
9496,-32,-.10204082,.020408163,31,49
7246,-9,-.055555556,0,0,36
10298,-23,.057692308,.057692308,22,52
4371,-54,.033333335,0,4,30
3138,-57,0,0,4,30
757,-40,-.050000001,0,1,40
3365,-35,-.050000001,0,13,40
330,-18,.175,.175,24,40
1136,-15,.06666667,.06666667,21,30
7502,-22,.079999998,.059999999,33,50
3346,-9,.01923077,.01923077,44,52
6191,-59,-.07692308,-.07692308,3,26
594,-22,0,0,11,26
8810,-10,.050000001,.1,35,40
280,-30,-.050000001,0,2,40
2955,-56,.055555556,.11111111,6,36
6496,-39,-.050000001,0,14,40
3679,-54,.01923077,.01923077,28,52
9271,-20,-.050000001,0,32,40
3948,-29,0,.050000001,13,40
847,-18,-.050000001,0,3,40
4471,-39,0,.050000001,6,40
4860,-19,.050000001,.1,23,40
5474,-50,-.050000001,0,13,40
6841,-29,0,0,7,52
5954,-19,.125,.125,10,16
5208,-38,.033333335,.06666667,6,30
10095,-7,-.025,.025,12,40
3129,-4,0,0,20,30
5083,-44,.06666667,.06666667,15,30
1604,-53,.039999999,.02,12,50
9652,-57,.057692308,.057692308,12,52
7176,-12,-.027777778,.027777778,23,36
8659,-1,.125,.125,33,40
6535,-34,-.03846154,-.03846154,14,26
3470,-57,.01923077,.01923077,20,52
4415,-53,-.050000001,0,1,40
3276,-55,.02,.02,17,50
7905,-54,-.07692308,-.07692308,5,26
